source_id,target_id,influence_value
Rincon001A,ktina_mejia,0.30394434928894043
Rincon001A,8088Cod12289,0.45205411314964294
Rincon001A,luchysruiz,0.3506641387939453
Rincon001A,dancasar,0.34797126054763794
Rincon001A,TOLATO21,0.2781461775302887
Rincon001A,claudiarocioc15,0.45205411314964294
Rincon001A,luisyovanyy,0.3012964725494385
Rincon001A,runrunes111,0.340681254863739
ProfeMauricio6,eccehomo323,0.37398481369018555
ProfeMauricio6,7AndresFranco2,0.263104110956192
DanielSamperO,sebastianxc25,0.29709550738334656
DanielSamperO,sandraquidi,0.3035479485988617
DanielSamperO,ErnestoRun1,0.34694722294807434
DanielSamperO,7AndresFranco2,0.23185427486896515
DanielSamperO,davidroldana,0.27669811248779297
DanielSamperO,jlosadat1,0.1855110228061676
DanielSamperO,LigiaBerri28054,0.20947560667991638
Danielbricen,frederickvander,0.2823134660720825
Danielbricen,ElianaPenuela,0.43868300318717957
Danielbricen,Maritza65187975,0.43868300318717957
Danielbricen,Adriana94393600,0.43868300318717957
Danielbricen,opmljp,0.43868300318717957
Danielbricen,eduar1206,0.43868300318717957
Danielbricen,ivanace53581730,0.26275673508644104
Danielbricen,Germania7777777,0.43868300318717957
Danielbricen,JohnJGutierrezV,0.43868300318717957
Danielbricen,anyelo77gr_gil,0.43868300318717957
Danielbricen,blankitarojol54,0.28726479411125183
Danielbricen,mige196074,0.43868300318717957
Danielbricen,NoraJalima,0.43868300318717957
Danielbricen,japilopi42,0.43868300318717957
Danielbricen,YSensacional,0.34878572821617126
Danielbricen,alfredoa271,0.43868300318717957
Danielbricen,avila_rico,0.28726479411125183
Danielbricen,willisan27,0.43868300318717957
Danielbricen,rosorcas,0.43868300318717957
Danielbricen,OjsOscar,0.43868300318717957
Danielbricen,Johnatan_torres,0.43868300318717957
Danielbricen,hjaa65,0.34179720282554626
Danielbricen,ludimcubides,0.32516440749168396
Danielbricen,exceleord,0.360696405172348
Danielbricen,AndresCarrilloM,0.43868300318717957
Danielbricen,agarciam0879,0.32516440749168396
Danielbricen,LlaveDeLibertad,0.43868300318717957
Danielbricen,Cheperman44,0.43868300318717957
Danielbricen,nstor_augusto,0.43868300318717957
Danielbricen,caja1975,0.43868300318717957
Danielbricen,Cadingenieria1,0.43868300318717957
Danielbricen,CarlosAguilarOr,0.43868300318717957
Danielbricen,jpalvarezarango,0.43868300318717957
Danielbricen,Nicolasriveragz,0.43868300318717957
Danielbricen,luciverp,0.43868300318717957
Danielbricen,MartinVandermar,0.43868300318717957
Danielbricen,saraacevedov,0.43868300318717957
Danielbricen,NavarroGrisales,0.3092925250530243
Danielbricen,ParcheCapuchino,0.43868300318717957
Danielbricen,TargaryenMoya,0.20358078181743622
Danielbricen,JavierMonom,0.3299199044704437
Danielbricen,Juansuga07J5737,0.34333157539367676
Danielbricen,Alxderxan07,0.43868300318717957
Danielbricen,fredyAmartinezz,0.43868300318717957
Danielbricen,juanpalacio8102,0.33709561824798584
Danielbricen,mclausalgado,0.43868300318717957
Danielbricen,nanpedra,0.43868300318717957
Danielbricen,paulodeta,0.43868300318717957
Danielbricen,NicolErnesto,0.2739070951938629
Danielbricen,hgquiceno,0.28819769620895386
Danielbricen,TichLilo,0.23686277866363525
Danielbricen,osnoflagoberdu,0.43868300318717957
Danielbricen,MiguelR21257988,0.43868300318717957
Danielbricen,GRULLACARIBE,0.3218431770801544
Danielbricen,ricardocipago,0.43868300318717957
